,Index,Name,Area,Review_Date,Rating_attribute,Rating(Out of 10),Review_Text,tokens,sentiment,compound_score,sentiment_category,positive_score,negative_score,neutral_score
0,0,Hotel The Pearl,"Paharganj, New Delhi",Jul-23,Best budget friendly hotel,9.0,"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended..","['Hotel', 'the', 'pearl', 'is', 'perfect', 'place', 'to', 'stay', 'in', 'Delhi', 'Paharganj', '.', 'whole', 'staff', 'are', 'very', 'helpful', ',', 'informative', '.', 'Rooms', 'are', 'clean', 'and', 'comfortable', '.', 'The', 'hotel', ""'s"", 'location', 'was', 'very', 'convenient', ',', 'and', 'we', 'had', 'a', 'truly', 'wonderful', 'stay', '..', 'Most', 'recommended', '..']","{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.9606}",0.9606,Positive,0.393,0.0,0.607
1,1,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Amazing place,9.0,Location of the hotel is perfect. The hotel is peaceful and nice. The staff is very kind and nice rooms. I recommend this hotel..,"['Location', 'of', 'the', 'hotel', 'is', 'perfect', '.', 'The', 'hotel', 'is', 'peaceful', 'and', 'nice', '.', 'The', 'staff', 'is', 'very', 'kind', 'and', 'nice', 'rooms', '.', 'I', 'recommend', 'this', 'hotel', '..']","{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.9565}",0.9565,Positive,0.524,0.0,0.476
2,2,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Overall good stay. Economic.,9.0,"Location, Indian food.","['Location', ',', 'Indian', 'food', '.']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
3,3,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Lovely,9.0,"The location and the hotel itself is great. Next time I will stay here. Nice rooms with comfortable beds. good attitude of staff, they are helpful and explain you everything you ask them.","['The', 'location', 'and', 'the', 'hotel', 'itself', 'is', 'great', '.', 'Next', 'time', 'I', 'will', 'stay', 'here', '.', 'Nice', 'rooms', 'with', 'comfortable', 'beds', '.', 'good', 'attitude', 'of', 'staff', ',', 'they', 'are', 'helpful', 'and', 'explain', 'you', 'everything', 'you', 'ask', 'them', '.']","{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.9423}",0.9423,Positive,0.371,0.0,0.629
4,4,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Great hotel Great staff and great staying,9.0,"Friendly and smiling staffs.. The reception staff are so excellent and ready to help me any time, location is fantastic near all the attractions, room was big and comfortable..","['Friendly', 'and', 'smiling', 'staffs', '..', 'The', 'reception', 'staff', 'are', 'so', 'excellent', 'and', 'ready', 'to', 'help', 'me', 'any', 'time', ',', 'location', 'is', 'fantastic', 'near', 'all', 'the', 'attractions', ',', 'room', 'was', 'big', 'and', 'comfortable', '..']","{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.9713}",0.9713,Positive,0.509,0.0,0.491
5,5,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Appreciate the behaviour of all the staff,9.0,"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place..","['The', 'location', 'was', 'really', 'perfect', '..', 'we', 'really', 'enjoyed', 'the', 'hotel', '.', 'Clean', 'and', 'comfortable', 'rooms', ',', 'awesome', 'breakfast', ',', 'great', 'staff', '.', 'Would', 'totally', 'recommend', 'this', 'hotel', '..', 'i', 'really', 'liked', 'the', 'place', '..']","{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.9741}",0.9741,Positive,0.542,0.0,0.458
6,6,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Awesome hotel with good facility,9.0,"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here..","['Nice', 'cosy', 'room', '.', 'well', 'maintained', 'and', 'clean', 'room', ',', 'bathroom', 'was', 'cleaned', 'and', 'bad', 'was', 'comfortable', '.', 'staffs', 'were', 'very', 'friendly', 'and', 'service', 'were', 'excellent', '.', 'Definitely', 'will', 'come', 'back', 'to', 'stay', 'here', '..']","{'neg': 0.076, 'neu': 0.475, 'pos': 0.449, 'compound': 0.9459}",0.9459,Positive,0.449,0.076,0.475
7,7,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,All the services was good,9.0,"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality..","['We', 'can', 'say', 'that', 'we', 'had', 'an', 'amazing', 'experience', '.', 'all', 'the', 'staff', 'members', 'are', 'amazing', ',', 'friendly', ',', 'supportive', '.', 'all', 'good', 'in', 'this', 'hotel', '.', 'The', 'room', 'was', 'actually', 'awesome', 'and', 'wonderful', 'service', 'by', 'the', 'hotel', 'management', '..', 'thanks', 'for', 'this', 'best', 'hospitality', '..']","{'neg': 0.0, 'neu': 0.493, 'pos': 0.507, 'compound': 0.9846}",0.9846,Positive,0.507,0.0,0.493
8,8,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,wonderful and well maintained hotel,9.0,"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..","['We', 'love', 'the', 'hotel', ',', 'again', 'come', 'back', 'to', 'the', 'hotel', 'soon', '.', 'the', 'staff', 'is', 'very', 'welcoming', 'and', 'friendly', '.', 'food', 'was', 'awesome', 'best', 'quality', ',', 'service', 'was', 'exceptional', ',', 'there', 'was', 'absolutely', 'no', 'issue', 'and', 'satisfactory', 'results', '..', 'Stay', 'was', 'great', '..']","{'neg': 0.046, 'neu': 0.554, 'pos': 0.4, 'compound': 0.9646}",0.9646,Positive,0.4,0.046,0.554
9,9,Hotel The Pearl,"Paharganj, New Delhi",Aug-23,Good on all aspects,8.0,Nice hotel with comfortable stay.. I would highly recommend it. the service from the staff was excellent and the facilities and breakfast were also great. i would stay here again!,"['Nice', 'hotel', 'with', 'comfortable', 'stay', '..', 'I', 'would', 'highly', 'recommend', 'it', '.', 'the', 'service', 'from', 'the', 'staff', 'was', 'excellent', 'and', 'the', 'facilities', 'and', 'breakfast', 'were', 'also', 'great', '.', 'i', 'would', 'stay', 'here', 'again', '!']","{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.9515}",0.9515,Positive,0.425,0.0,0.575
